callsign,lat,lon,website,logo
KSFY-TV,43.51859,-96.53504,http://www.ksfy.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/48658/tv
WSAV-TV,32.05882,-81.29845,http://www.wsav.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/48662/tv
KNOE-TV,32.19738,-92.07069,http://www.knoe.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/48975/tv
KTKA-TV,39.02611,-95.91721,http://www.ktka.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49397/tv
WJFW-TV,45.66746,-89.20818,http://www.wjfw.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49699/tv
KVIA-TV,31.80539,-106.4836,http://www.kvia.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49832/tv
KUAM-TV,13.43282,144.71242,http://www.kuam.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/51233/tv
KALB-TV,31.03769,-92.49597,http://www.kalb.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/51598/tv
WKBW-TV,42.63751,-78.61972,http://www.wkbw.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/54176/tv
WGEM-TV,39.95116,-91.33154,http://www.wgem.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/54275/tv
KDLV-TV,43.75916,-98.41259,http://www.kdlt.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/55375/tv
KDLT-TV,43.50497,-96.55643,http://www.kdlt.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/55379/tv
WJHL-TV,36.43205,-82.13735,http://www.wjhl.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/57826/tv
WNCT-TV,35.36544,-77.39357,http://www.wnct.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/57838/tv
WTOC-TV,32.05409,-81.35011,http://www.wtoc.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/590/tv
WITN-TV,35.36544,-77.39357,http://www.witn.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/594/tv
WCPO-TV,39.12506,-84.49883,http://www.wcpo.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/59438/tv
KJRH-TV,36.02093,-95.67581,http://www.kjrh.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/59439/tv
WPTV-TV,26.58924,-80.21199,http://www.wptv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/59443/tv
WICZ-TV,42.05619,-75.94381,http://www.wicz.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/62210/tv
WIBW-TV,39.00611,-96.04944,http://www.wibw.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/63160/tv
KGWN-TV,41.10026,-105.00692,http://www.kgwn.tv,https://publicfiles.fcc.gov/api/manager/download/entity/logo/63166/tv
WFLA-TV,27.84253,-82.26231,http://www.wfla.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/64592/tv
WORA-TV,18.1489,-66.9889,http://www.woratv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/64865/tv
WVBT,36.82098,-76.51078,http://www.fox43tv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65387/tv
KOMU-TV,38.88809,-92.26352,http://www.komu.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65583/tv
WISN-TV,43.11168,-87.92842,http://www.wisn.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65680/tv
WTAE-TV,40.28035,-79.80282,http://www.wtae.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65681/tv
KMBC-TV,39.08362,-94.51607,http://www.kmbc.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65686/tv
WHO-DT,41.80915,-93.61494,http://www.whotv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/66221/tv
KFOR-TV,35.59783,-97.48976,http://www.kfor.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/66222/tv
WSPA-TV,35.17011,-82.29067,http://www.wspa.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/66391/tv
KBSH-DT,38.88362,-99.33788,http://www.kwch.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/66415/tv
KBTX-TV,30.55464,-96.03107,http://www.kbtx.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/6669/tv
WILX-TV,42.44254,-84.57247,http://www.wilx.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/6863/tv
